Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
CD83	12.0818071336464	0.595382013514027	20.2925296018567	4.34287681294303	206	31	730	730	0.282191780821918	0.0424657534246575	2.54643940376891e-38	1.28761950223693e-36	5.5807190350879e-72	1.44145322077125e-69
HIST1H2AM	0.126979577108572	1.22140644988806	0.103961770563934	-3.26587498534076	29	198	730	730	0.0397260273972603	0.271232876712329	3.79727045640624e-37	1.8533834585167e-34	1.14386915831437e-68	2.83633796495631e-66
ZFP36L2	58.2776824385932	151.849049437238	0.383786942720906	-1.38162246618951	646	702	730	730	0.884931506849315	0.961643835616438	3.48157686176212e-08	1.63655614108845e-61	9.0103972653257e-67	2.14828664029823e-64
LAG3	2.63132751332637	15.9527130903593	0.164945454633453	-2.59993907247484	75	271	730	730	0.102739726027397	0.371232876712329	1.11523051837488e-34	1.23581159127876e-34	2.1673116487529e-66	4.97598700393305e-64
SIK1	8.48239952008612	0.465926920256371	18.2054291162631	4.18629684152579	190	28	730	730	0.26027397260274	0.0383561643835616	2.3504741939556e-35	2.09845124410298e-33	7.69348660708766e-66	1.70328298133344e-63
NAMPT	11.335965998592	0.785619172285884	14.4293398105449	3.85093338821325	227	50	730	730	0.310958904109589	0.0684931506849315	7.3238736403236e-34	2.15455765647425e-33	2.40663390773911e-64	5.14438744623268e-62
CD99	0.71756534044834	2.43822171236758	0.294298642657711	-1.76464720648437	172	387	730	730	0.235616438356164	0.53013698630137	2.76702782369222e-31	7.25420720723316e-36	3.05653096027779e-64	6.31581180758733e-62
CNRIP1	1.22343671957534	0.403344799156084	3.03322795319323	1.60085392347597	187	27	730	730	0.256164383561644	0.036986301369863	4.32524706525229e-35	7.03693279785929e-32	4.62200850153674e-64	9.24252603258911e-62
FOSL1	9.04932175907282	0.887675999379528	10.1943972411084	3.3497045712746	217	47	730	730	0.297260273972603	0.0643835616438356	1.57669638313799e-32	2.28551215253024e-32	5.30024119279568e-62	1.02675609856689e-59
HIST2H2AA3	112.039083411633	314.578212264633	0.356156526560022	-1.48941666700463	645	701	730	730	0.883561643835616	0.96027397260274	4.58951420727972e-08	1.88286190246986e-56	1.26345254223566e-61	2.37337645736935e-59
