Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
GCH1	1.32057129302075	1.18154336042965	1.11766638216353	0.160489615171074	90	59	1107	1107	0.0813008130081301	0.0532971996386631	0.0107200136570438	0.0105196510071412	0.00113787466159813	0.00153563573390042
TCF7	2.47743382587089	0.242354131643984	10.2223709126206	3.35365793961538	53	30	1107	1107	0.047877145438121	0.02710027100271	0.0133889371714249	0.00842872860163265	0.00113861016429866	0.00153637125231197
SMN1	3.31752605259643	4.51061636985749	0.735492841902059	-0.443216794199446	367	307	1107	1107	0.331526648599819	0.277326106594399	0.0064099766977253	0.0176185078052366	0.00113936007439165	0.00153712596185492
CYSLTR2	0.457169704515613	1.4765886790381	0.309612088326065	-1.6914662945045	11	27	1107	1107	0.00993676603432701	0.024390243902439	0.0130623836961318	0.0086480814594632	0.00113963576508374	0.00153724075019241
ZSCAN31	1.95953320380977	4.08288515875223	0.479938359179472	-1.05907896950489	113	152	1107	1107	0.102077687443541	0.137308039747064	0.0127335153958901	0.00889156959025279	0.00114196556781186	0.00154012580341181
AC079354.2	0.0609143467168759	0.02101566649244	2.89852081249903	1.53531684475727	30	13	1107	1107	0.02710027100271	0.011743450767841	0.0128298047747266	0.0088385054378937	0.00114355879181509	0.00154201666209475
FGD3	6.25801224392642	7.55340216061536	0.828502456357573	-0.271422120108546	250	199	1107	1107	0.22583559168925	0.179765130984643	0.00817639650978572	0.0138725813825383	0.00114384428741146	0.0015421437943787
CNNM2	1.18224393587858	0.619602926121924	1.90806706365673	0.932111879259918	56	32	1107	1107	0.0505871725383921	0.028906955736224	0.0119437767222745	0.00954379509668741	0.00114894132363122	0.00154875677337219
PRIM2	0.949981340686215	1.25573496557195	0.756514206207142	-0.402560920532386	74	46	1107	1107	0.0668473351400181	0.041553748870822	0.0109880349236553	0.0104123864248328	0.00115277847924558	0.00155366952458483
NIPA2	1.06421186563308	0.518822856345378	2.05120466960429	1.03647145139422	88	58	1107	1107	0.0794941282746161	0.0523938572719061	0.012781113295118	0.00895906954870103	0.00115364260351103	0.0015545743688081
FAM27A	0.167062082582443	0.638986261563054	0.26144862985596	-1.93540058525029	11	27	1107	1107	0.00993676603432701	0.024390243902439	0.0130623836961318	0.00876896113215987	0.00115397521002296	0.00155476279131894
EBF4	0.29830747267579	0.132182892756691	2.25677821429499	1.17426464411292	24	9	1107	1107	0.021680216802168	0.00813008130081301	0.0128572000059873	0.00895316501434523	0.00115913811322863	0.0015614579728059
PTPRD	0.892047534581131	0.597030811824468	1.49413986165156	0.579315200514663	61	36	1107	1107	0.0551038843721771	0.032520325203252	0.012333812407908	0.00940571097380015	0.00116725774705838	0.0015721332214472
BMF	1.35612450564179	1.50309694114847	0.902220255072582	-0.148448419598501	70	43	1107	1107	0.0632339656729901	0.038843721770551	0.0117423817647501	0.00990405303319838	0.00116987532881924	0.00157539564650645
C11orf30	1.94493012534443	1.31554352983877	1.47842323817502	0.564059338636346	98	66	1107	1107	0.0885275519421861	0.0596205962059621	0.0116831969415013	0.00998190238418015	0.00117280431194835	0.00157907625640458
GAD1	0.185206496300904	0.126586475944503	1.46308280500755	0.549011422923515	11	27	1107	1107	0.00993676603432701	0.024390243902439	0.0130623836961318	0.00896085954301471	0.00117669472126115	0.00158404989600587
DYRK3	0.869946507532013	0.24360138289576	3.57118870669249	1.83640436999689	48	26	1107	1107	0.043360433604336	0.023486901535682	0.0125276599711764	0.00937212647707487	0.00117995889934378	0.00158817899252464
DDX20	5.89280046712561	3.98374769288828	1.47921026164517	0.564827138219571	190	147	1107	1107	0.17163504968383	0.132791327913279	0.0128786579244686	0.00911880196359134	0.00118020430464302	0.00158819640738171
NDST2	0.169205241902025	0.0813986378684045	2.07872326040118	1.05569770556439	27	11	1107	1107	0.024390243902439	0.00993676603432701	0.0130623836961318	0.00899190891542401	0.00118036568702368	0.00158819640738171
ATP6AP1L	0.634405320598282	0.108473855905932	5.8484628881307	2.54805750075385	27	11	1107	1107	0.024390243902439	0.00993676603432701	0.0130623836961318	0.00901525895638655	0.00118312543832665	0.00159164414680642
ZNF625	0.443809985299818	0.279742217149809	1.58649627439732	0.665844133348319	52	29	1107	1107	0.046973803071364	0.026196928635953	0.0123106028107478	0.00957291649045481	0.00118391791974493	0.00159244463354618
RAP2B	5.71527296614728	4.67001169128221	1.2238241237846	0.291396242691411	402	347	1107	1107	0.363143631436314	0.313459801264679	0.0152546904121922	0.00773445735326679	0.001185169637448	0.00159386245222913
