Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
DNPEP	14.0311423362428	16.9361267030534	0.828474100498619	-0.271471497822344	981	580	2056	2056	0.477140077821012	0.282101167315175	4.04532868061331e-38	1.81507363684219e-24	1.04093100884002e-59	3.77031835226887e-59
MAPK14	8.87295848925386	7.67655208962135	1.15585205254453	0.208956746696776	900	526	2056	2056	0.437743190661479	0.255836575875486	1.23931347148059e-34	5.96132183746783e-28	1.04731843720843e-59	3.79232636255527e-59
CHEK2	2.546399361991	1.19824897541926	2.12510038750505	1.08753099425499	356	118	2056	2056	0.173151750972763	0.0573929961089494	3.56543814496349e-32	2.09914326840639e-30	1.06088979306528e-59	3.84032646933971e-59
ECI2	8.03295672921305	9.16667635436121	0.876321626146562	-0.190467632268184	734	381	2056	2056	0.357003891050584	0.185311284046693	1.82508662509255e-35	4.32631597416028e-27	1.11880131852786e-59	4.04875783154719e-59
TFCP2	1.86927867177733	1.02769533380577	1.81890353131702	0.863069029200962	279	72	2056	2056	0.135700389105058	0.0350194552529183	2.34474750911994e-32	3.46620951386418e-30	1.15136645108437e-59	4.16536820334383e-59
TMEM206	3.5242139552355	2.93863080572069	1.1992707448567	0.262157395339306	400	143	2056	2056	0.194552529182879	0.0695525291828794	3.62637803447863e-33	2.32291510525435e-29	1.19305172303976e-59	4.31489401376109e-59
HMGA1	19.1474131945295	15.1965261771659	1.25998619495686	0.333407926918533	1400	992	2056	2056	0.680933852140078	0.482490272373541	3.68289552299078e-38	2.46551276134774e-24	1.28534390297042e-59	4.64730604989098e-59
USP25	2.58256795307354	1.50176507944561	1.71968837764354	0.782147159834719	395	143	2056	2056	0.192120622568093	0.0695525291828794	3.64106260173401e-32	2.5808649123157e-30	1.32987510883079e-59	4.8068868547976e-59
MTMR3	3.22249720929524	2.42127307026398	1.33091027561955	0.41241331408832	494	209	2056	2056	0.240272373540856	0.101653696498054	1.10934051091969e-32	8.6522342457407e-30	1.3581432152235e-59	4.90760679461213e-59
ARAP1	0.748698421147666	0.236055364435459	3.17170687028538	1.66525944306991	252	58	2056	2056	0.122568093385214	0.0282101167315175	4.00639371961221e-32	2.44450718164999e-30	1.3855924731919e-59	5.0053089904954e-59
RPRD1A	3.70335314688258	3.32455055375596	1.11394099352728	0.155672813826782	633	310	2056	2056	0.307879377431907	0.150778210116732	2.19909115236543e-33	4.56489599823364e-29	1.42000164551626e-59	5.1280877687618e-59
C1orf228	42.119588891093	36.082345252931	1.16731849318114	0.223198242145058	1339	912	2056	2056	0.651264591439689	0.443579766536965	6.27507709626419e-41	1.60409000210974e-21	1.42381718210741e-59	5.14034294465038e-59
DONSON	1.40594975267531	0.679393146317627	2.06941998207619	1.04922646519362	344	111	2056	2056	0.167315175097276	0.053988326848249	5.05178654788206e-32	2.01245143530505e-30	1.43795823522984e-59	5.18985755950657e-59
GPD2	1.67622542996911	1.0764810734198	1.55713413952001	0.638893230919561	268	66	2056	2056	0.130350194552529	0.0321011673151751	2.38070991317851e-32	4.55290788944891e-30	1.53240812829053e-59	5.52910646051747e-59
RALB	7.60725460694131	6.82449405715735	1.11469869315265	0.156653797465054	799	436	2056	2056	0.388618677042802	0.212062256809339	3.22605700741735e-35	3.60425232787997e-27	1.64304930636108e-59	5.92655718116206e-59
PAPD7	2.10869106684998	1.31184875834642	1.6074193411655	0.684746346249919	291	79	2056	2056	0.141536964980545	0.0384241245136187	3.04703575931172e-32	3.81957565437004e-30	1.64457305182835e-59	5.93029731921882e-59
EVA1C	2.59799106939617	1.84316462377485	1.40952741599143	0.495211539299048	290	78	2056	2056	0.141050583657588	0.0379377431906615	2.05233509490948e-32	5.76486550116728e-30	1.67165783248338e-59	6.02618054379402e-59
PHKB	7.67077769777026	5.10537305520859	1.50249112353198	0.587356467758945	723	387	2056	2056	0.351653696498055	0.188229571984436	2.47260319651831e-32	4.93559691754926e-30	1.72388700178323e-59	6.21262354104188e-59
USPL1	2.7958626001948	2.06564640619237	1.35350493279653	0.436700145408893	401	145	2056	2056	0.195038910505837	0.0705252918287938	9.39868035940238e-33	1.34770729206074e-29	1.78880363260406e-59	6.44466638531502e-59
KIAA1731	6.85647926749913	5.46491437899918	1.25463617396231	0.327269064480301	503	214	2056	2056	0.244649805447471	0.10408560311284	4.6872800326179e-33	3.2078175165605e-29	2.12081667649466e-59	7.63857715445932e-59
METTL7A	4.25972000631138	2.91551913344035	1.4610502662985	0.54700581379649	486	205	2056	2056	0.236381322957198	0.0997081712062257	3.08656991904662e-32	5.76870615769157e-30	2.5084546051286e-59	9.0320678525189e-59
