Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
FAM134C	1.40128959997937	1.03809612720556	1.34986497228488	0.432815100936971	173	105	1107	1107	0.156278229448961	0.0948509485094851	1.59705383458486e-05	2.46255631202442e-05	8.91042384049163e-09	1.5168868686685e-08
TRADD	2.38696006465169	3.27679836223887	0.72844276662199	-0.457112469961057	189	116	1107	1107	0.170731707317073	0.104787714543812	8.305702692183e-06	4.74466166477012e-05	8.92761810939267e-09	1.51957353644923e-08
RERE	5.58734793956904	7.40089665785417	0.754955540912667	-0.405536407791897	355	260	1107	1107	0.320686540198735	0.23486901535682	7.94903787645855e-06	4.96218878503757e-05	8.93560355234961e-09	1.52069216418427e-08
ARHGAP6	0.455735212755532	0.0861471837875886	5.29019281557978	2.40332030627338	38	9	1107	1107	0.034327009936766	0.00813008130081301	2.05782436802452e-05	1.92210411362454e-05	8.95918280260309e-09	1.52446382687343e-08
NAALADL1	0.912549938410495	3.30464386881489	0.276141688676957	-1.85651938911512	58	110	1107	1107	0.0523938572719061	0.0993676603432701	3.76611606576196e-05	1.05185506704053e-05	8.97229315155162e-09	1.52645322608387e-08
EDF1	39.90107049498	44.128221183291	0.904207543948959	-0.145274140543509	777	667	1107	1107	0.70189701897019	0.60252935862692	1.11710876892081e-06	0.00035645811546967	9.01692118853549e-09	1.53380324217318e-08
PCDH17	0.00928621791004674	2.32934764751923	0.00398661742051969	-7.97061912226693	6	32	1107	1107	0.00542005420054201	0.028906955736224	2.0917900959388e-05	1.91412438776543e-05	9.06436234698322e-09	1.54162937861512e-08
RSPRY1	2.94889859052153	2.63686042477925	1.11833700517858	0.161355002524772	200	126	1107	1107	0.1806684733514	0.113821138211382	1.11589629998511e-05	3.62707927502506e-05	9.15846205493553e-09	1.55738728068676e-08
IPP	0.58080528022308	0.144498050082934	4.01946794361396	2.00700454471003	47	14	1107	1107	0.042457091237579	0.012646793134598	2.11631060828688e-05	1.92516090295852e-05	9.2164028536283e-09	1.56699238783481e-08
PRF1	0.327250958901108	0.0180419215110883	18.1383650682653	4.18097251689461	36	8	1107	1107	0.032520325203252	0.00722673893405601	2.1315229824548e-05	1.94944618993597e-05	9.39156430185878e-09	1.5965214144999e-08
TRHDE	0.0359596293446256	0.506811835794061	0.0709526234490656	-3.81700016134535	7	34	1107	1107	0.00632339656729901	0.030713640469738	2.14869317472213e-05	1.96201057678518e-05	9.52214325401752e-09	1.61846349557622e-08
AP001171.1	4.97678894889434	5.56596901940017	0.894146002528537	-0.161417670720629	264	179	1107	1107	0.238482384823848	0.161698283649503	7.72259372388802e-06	5.46652541750705e-05	9.53469949003339e-09	1.62034168082877e-08
EME2	0.999525701046928	0.535416048100648	1.86682058670575	0.900583282086075	87	40	1107	1107	0.0785907859078591	0.03613369467028	2.16488096333606e-05	1.95092131870857e-05	9.53888044591325e-09	1.62079618947537e-08
MYO3B	0.356758381793872	0.00860969503079758	41.4368198313318	5.37284137905031	32	6	1107	1107	0.028906955736224	0.00542005420054201	2.0917900959388e-05	2.02363970828774e-05	9.55942215730459e-09	1.62400946480064e-08
AC006486.1	0.222100694600293	0.0563190478314125	3.94361593727823	1.97951905669453	38	9	1107	1107	0.034327009936766	0.00813008130081301	2.05782436802452e-05	2.05735377532454e-05	9.56081043781696e-09	1.62400946480064e-08
ITGB1BP2	0.670028136753771	0.0144327992450345	46.423990618749	5.53679863735487	34	7	1107	1107	0.030713640469738	0.00632339656729901	2.14869317472213e-05	1.97709107019881e-05	9.59208002066778e-09	1.62906375599629e-08
BCL2L14	0.0364289940854439	0.00943328689889588	3.86174983077296	1.9492547076357	30	5	1107	1107	0.02710027100271	0.004516711833785	1.94488148582707e-05	2.18849665837385e-05	9.60978411414655e-09	1.63181293062031e-08
CLEC9A	0.695217047127552	2.20134908190289	0.315814085481886	-1.66285257726206	24	63	1107	1107	0.021680216802168	0.0569105691056911	2.43321973513765e-05	1.76807706991891e-05	9.70848368451376e-09	1.6483127025672e-08
ADAMTS9	1.07985146058528	0.18196978299831	5.93423502953404	2.56906206689713	34	7	1107	1107	0.030713640469738	0.00632339656729901	2.14869317472213e-05	2.0281605999396e-05	9.82873580290924e-09	1.66846589623699e-08
C21orf119	4.820179170069	6.2782099780667	0.767763293503815	-0.381266507802142	237	157	1107	1107	0.214092140921409	0.141824751580849	1.0754371396277e-05	4.06382929605281e-05	9.85567227843495e-09	1.67277453925985e-08
NPIPA7	2.21056588588956	2.56911808470747	0.86043763385102	-0.21685746810075	296	205	1107	1107	0.267389340560072	0.185185185185185	4.63580184583434e-06	9.4907883022468e-05	9.91891126110999e-09	1.68324237000445e-08
TGFBR2	1.2161828263039	1.00987130907291	1.20429485953056	0.268188664773458	124	67	1107	1107	0.112014453477868	0.0605239385727191	1.98948554332626e-05	2.21417652666847e-05	9.9303957704213e-09	1.68492553373226e-08
TRIM66	0.938535499416783	1.17764652883144	0.796958574953788	-0.32742335845322	74	31	1107	1107	0.0668473351400181	0.028003613369467	2.10858947145744e-05	2.09793777476238e-05	9.97049929571137e-09	1.69146329111571e-08
DOK6	0.140021966994168	0.746027601205349	0.187690062362219	-2.41357582916338	7	34	1107	1107	0.00632339656729901	0.030713640469738	2.14869317472213e-05	2.07783823113499e-05	1.00586763348564e-08	1.7061532190875e-08
ZNF382	0.246200397416253	0.150984880611432	1.63062948037733	0.705429003049948	36	8	1107	1107	0.032520325203252	0.00722673893405601	2.1315229824548e-05	2.10665260698435e-05	1.01140897739148e-08	1.71528202833464e-08
TSPAN2	1.20881899360112	3.98455385910758	0.303376246461847	-1.72081996399342	53	104	1107	1107	0.047877145438121	0.0939476061427281	3.02293366393452e-05	1.48737278977589e-05	1.01266826673245e-08	1.71714702628438e-08
PTTG2	0.0336687952118789	0.0206026242433941	1.63419935315639	0.708583986095062	38	9	1107	1107	0.034327009936766	0.00813008130081301	2.05782436802452e-05	2.20163452273892e-05	1.02005952185044e-08	1.72940756312462e-08
AC068831.10	0.13967448228782	0.0885679460823766	1.5770319677269	0.657211905032429	32	6	1107	1107	0.028906955736224	0.00542005420054201	2.0917900959388e-05	2.22539160702367e-05	1.04682336501803e-08	1.77450332192043e-08
