Gene	ExpA	ExpB	FoldChange	log2FC	ExpFreqA	ExpFreqB	TotalA	TotalB	ExpFractionA	ExpFractionB	fishers.pval	wilcoxon.pval	combined.pval	adjusted.pval
DVL3	1.7241425326212	2.28234249776501	0.75542673122442	-0.404636259583493	533	816	4546	4546	0.117245930488341	0.179498460184778	7.06845294832226e-17	1.69935614893379e-17	9.22531746396706e-32	2.97347402482293e-31
SPATA24	0.2207844867528	0.808411061657374	0.273109185690947	-1.87245025669806	64	197	4546	4546	0.0140783106027277	0.0433347998240211	2.29755816431778e-17	5.25031181035012e-17	9.2640343623319e-32	2.98507773897361e-31
ARAF	5.58531647761834	7.15924192558111	0.780154733654287	-0.358167802532359	1185	1532	4546	4546	0.26066871975363	0.336999560052794	2.10107060052172e-15	5.97629931257483e-19	9.63817096242515e-32	3.10472265674135e-31
CTSK	1.2168092413559	0.468019503438504	2.59991139774324	1.37846245855584	288	122	4546	4546	0.0633523977122745	0.0268367795864496	2.87154406959983e-17	4.39949117792768e-17	9.69627929500876e-32	3.12252580519898e-31
PAFAH1B3	9.93559884499461	16.3569945959733	0.60742202894904	-0.719228864223216	1279	1608	4546	4546	0.281346238451386	0.353717553893533	1.41100900462099e-13	9.16922187562048e-21	9.9269229046009e-32	3.19586437154272e-31
UBA6	13.8737608776105	6.67001762489297	2.08001862331407	1.05659644550222	2000	1644	4546	4546	0.43994720633524	0.361636603607567	2.92143352584334e-14	4.46036277910573e-20	9.99719396024828e-32	3.21754491411681e-31
SIPA1	3.65696685870267	4.21527792904708	0.867550591030514	-0.204980204285027	1266	1630	4546	4546	0.278486581610207	0.35855697316322	2.86035663782048e-16	4.59553698811763e-18	1.00836780609194e-31	3.24442931989358e-31
ZNF581	3.2753426374841	4.54450491856442	0.720725952810445	-0.472477298220774	450	716	4546	4546	0.098988121425429	0.157501099868016	7.22388433886779e-17	1.85181645425395e-17	1.02596370981252e-31	3.30007817809466e-31
RHBDD1	1.12923332575828	2.86693814011041	0.393881301434285	-1.34416716478064	309	537	4546	4546	0.0679718433787945	0.118125824901012	1.71972284508432e-16	8.02069099276147e-18	1.05745051234584e-31	3.40036237015598e-31
UBQLN2	4.5384466579035	6.4964812848772	0.698600743831634	-0.517459916051467	905	1234	4546	4546	0.199076110866696	0.271447426308843	4.57593853042023e-16	3.04460433613737e-18	1.06793353647567e-31	3.43306741719921e-31
DICER1-AS1	2.63976309738106	4.42456732609375	0.596614968838453	-0.745127920100441	415	673	4546	4546	0.0912890453145623	0.148042234931808	7.52849046977552e-17	1.85116985361979e-17	1.06828096095644e-31	3.4331801292024e-31
SNORD3D	2.32360938167465	2.75192440346641	0.844357998623713	-0.244073279210779	792	1122	4546	4546	0.174219093708755	0.24681038275407	2.2468011864902e-17	6.25730345710887e-17	1.07754056757903e-31	3.46192586327421e-31
RP1-313I6.12	2.30510344208622	3.53696108509725	0.651718632641626	-0.617678852679099	550	839	4546	4546	0.120985481742191	0.184557853057633	3.73071515293065e-17	3.83953542486655e-17	1.09760631146224e-31	3.52536264444228e-31
C7orf13	0.191235124518423	1.2513731422674	0.152820224487092	-2.71009261017581	59	188	4546	4546	0.0129784425868896	0.0413550373955125	2.80183583542443e-17	5.1442979889448e-17	1.10435681866744e-31	3.54600811977033e-31
SLC10A3	2.90939566079345	4.30833290923618	0.675294997412179	-0.566410224824713	538	819	4546	4546	0.118345798504179	0.180158380994281	1.38764153208225e-16	1.0497890003493e-17	1.11598856207485e-31	3.58231024701072e-31
RP11-932O9.9	0.233153302025335	0.086503162567559	2.6953153515427	1.43045407798366	244	93	4546	4546	0.0536735591728993	0.0204575450945887	2.50289782063517e-17	5.85430059035305e-17	1.12244593691624e-31	3.60198636281647e-31
GNB2	1.81861742777278	2.04966081602063	0.887277257562833	-0.172543104669399	1022	1379	4546	4546	0.224813022437308	0.303343598768148	2.23288391721039e-17	6.69084446298276e-17	1.14415358756877e-31	3.67057562199893e-31
SPAG9	9.94158105315193	3.70062364472476	2.68646098808877	1.42570688784979	1409	1079	4546	4546	0.309942806863176	0.237351517817862	9.35332053673733e-15	1.60456789317963e-19	1.14930514002514e-31	3.68602649373104e-31
KDELR1	1.46441183276255	5.51153769270896	0.26569932284048	-1.91213354389721	739	1057	4546	4546	0.162560492740871	0.232512098548174	5.8736643086767e-17	2.58551433119973e-17	1.16278784178841e-31	3.72818003765941e-31
RP11-374M1.5	0.159712940607866	0.351147173200091	0.454831913218502	-1.13659461060707	41	157	4546	4546	0.00901891772987242	0.0345358556973163	1.59116035110042e-17	9.5913447181207e-17	1.16844948967911e-31	3.74524011112951e-31
NSFL1C	13.1190940365549	15.1050159494126	0.868525665943771	-0.203359612005028	1924	2308	4546	4546	0.423229212494501	0.507699076110867	7.79080094803767e-16	1.98402820013998e-18	1.18324349214651e-31	3.79155370909104e-31
SHCBP1	1.45458093954265	0.473171832624729	3.07410720429817	1.62016747745955	346	162	4546	4546	0.0761108666959965	0.0356357237131544	3.05459705812413e-17	5.32496480461845e-17	1.24430119140818e-31	3.98604325117088e-31
RP11-89K11.1	1.84221712743561	2.96111356068013	0.622136601546776	-0.684696709488279	531	813	4546	4546	0.116805983282006	0.178838539375275	8.14768182335851e-17	2.04996184151678e-17	1.27727440397921e-31	4.09047872206745e-31
LCMT1	6.40272798256151	10.7241209073396	0.597039891463689	-0.744100765919658	791	1100	4546	4546	0.173999120105587	0.241970963484382	1.55209626873227e-15	1.16769072136174e-18	1.3844804371302e-31	4.43251514258608e-31
ZNF32	2.56032872660474	3.57127811353214	0.716922246100983	-0.480111435161421	551	837	4546	4546	0.121205455345359	0.184117905851298	7.72989033630098e-17	2.36634089461669e-17	1.39713560729945e-31	4.47172902149919e-31
TADA2A	1.55318972448141	2.75268442248909	0.564245473179577	-0.825605155856733	393	644	4546	4546	0.0864496260448746	0.141663000439947	1.19420357159008e-16	1.56788067909173e-17	1.42970523974556e-31	4.57464055023099e-31
ADAM8	6.38597059684002	8.41459151895103	0.758916292306974	-0.397987328263062	1205	1547	4546	4546	0.265068191816982	0.340299164100308	6.61391449578578e-15	2.90382190104143e-19	1.46601737747484e-31	4.68946361927413e-31
NFYB	2.70264669187032	4.12502978886875	0.655182345388951	-0.610031612394046	640	938	4546	4546	0.140783106027277	0.206335239771227	1.65884786354071e-16	1.1863195419365e-17	1.50168964529785e-31	4.80217366641511e-31
CALHM2	1.20429688827383	2.87947267240227	0.418235220572214	-1.2576135350993	301	527	4546	4546	0.0662120545534536	0.115926088869336	1.6085176347206e-16	1.24652788359087e-17	1.52965450537871e-31	4.89017820494981e-31
AC000003.2	0.171901820316268	0.0173409979962401	9.9130292474251	3.30932598702119	115	20	4546	4546	0.0252969643642763	0.0043994720633524	1.26845459252415e-17	1.61471842118912e-16	1.56212601700165e-31	4.99253476384564e-31
CTC-241N9.1	0.154769383583305	0.470941938981662	0.328637929163773	-1.60542909890053	43	160	4546	4546	0.00945886493620766	0.0351957765068192	2.23908261413555e-17	9.41027058198099e-17	1.60640578829464e-31	5.13255988928674e-31
C12orf75	5.32249189937579	2.42156014697458	2.19795981777514	1.13616501175283	832	554	4546	4546	0.18301803783546	0.121865376154861	5.2826156144136e-16	4.13610682182484e-18	1.6650102519434e-31	5.31825855248762e-31
MCL1	26.5815428563488	14.6338049436534	1.81644780415617	0.861119910335309	2805	2565	4546	4546	0.617025956885174	0.564232292124945	3.41868501353866e-07	6.40905331496262e-27	1.66960301099695e-31	5.33137905109456e-31
ZNF862	0.882303758573448	2.01802890299455	0.43721066495341	-1.19359950154512	183	373	4546	4546	0.0402551693796744	0.0820501539815222	6.86645580200651e-17	3.32650132803692e-17	1.73957601299715e-31	5.55320358955902e-31
DMAP1	10.729665929089	15.5032770503589	0.692090188044511	-0.530968043490015	1258	1606	4546	4546	0.276726792784866	0.353277606687198	4.45590526609146e-15	5.13333227518298e-19	1.74200874506617e-31	5.55935485395536e-31
TBL3	2.46713235489825	3.7183218009833	0.663506949357052	-0.591816518891815	673	970	4546	4546	0.148042234931808	0.213374395072591	6.17686604096319e-16	3.72327980275417e-18	1.75136994455177e-31	5.58760727447563e-31
GOLGA5	1.23354994373732	1.90596764618054	0.647204031091131	-0.627707501308174	392	644	4546	4546	0.086229652441707	0.141663000439947	8.74517246685425e-17	2.64376302096423e-17	1.76053544369235e-31	5.6152191124848e-31
FAM224A	0.425606928296687	0.0366369395401443	11.6168799479098	3.53815073780371	141	33	4546	4546	0.0310162780466344	0.00725912890453146	2.20419595075648e-17	1.04982922426615e-16	1.76204812312699e-31	5.61841338012438e-31
PSMG3-AS1	0.411143701954303	1.22478978866373	0.335685115731467	-1.57481952549104	156	335	4546	4546	0.0343158820941487	0.0736911570611527	6.95631189924569e-17	3.36603836704045e-17	1.78270568417706e-31	5.68263288131963e-31
NLRX1	1.59414583995624	2.78904297677768	0.571574498216602	-0.806986545348635	401	651	4546	4546	0.0882094148702156	0.143202815662121	2.44856357052558e-16	9.67831648309523e-18	1.80394904842491e-31	5.7486819342529e-31
SSNA1	17.3097840601154	20.5871948665991	0.840803430106884	-0.25015954001627	1917	2308	4546	4546	0.421689397272327	0.507699076110867	2.29095456491065e-16	1.0564468495727e-17	1.84186135601968e-31	5.86779656927891e-31
RAD51B	1.04500980845524	1.76851077872848	0.590898184520303	-0.759018528514743	242	453	4546	4546	0.053233611966564	0.0996480422349318	6.92647726260058e-17	3.51033858453965e-17	1.85023964471129e-31	5.89278004492083e-31
TCF7	1.65420871431044	0.234735605727579	7.0471146002035	2.81703267537408	250	98	4546	4546	0.054993400791905	0.0215574131104267	5.03206162285537e-17	4.88883797405532e-17	1.87176473500907e-31	5.95960782227252e-31
RP11-556I14.1	0.00895819392416434	0.177403961461925	0.0504960196511	-4.30768651786943	7	84	4546	4546	0.00153981522217334	0.0184777826660801	5.13783711749721e-18	4.86556172120965e-16	1.90161009799121e-31	6.0528805638637e-31
SERPING1	27.4704566722174	36.9945315803577	0.742554520863372	-0.429431137537582	2284	2616	4546	4546	0.502419709634844	0.575450945886494	3.23872666092467e-12	7.77353156786613e-22	1.91496277910482e-31	6.09361780693141e-31
GBGT1	0.592798442855887	2.37972305286631	0.249103962808562	-2.00518012237009	278	495	4546	4546	0.0611526616805983	0.108886933567972	3.05902206683945e-16	8.29060268977489e-18	1.92883300534178e-31	6.13597787603806e-31
KCTD17	0.24708024455777	0.507052652413525	0.487287155252399	-1.03715590087735	139	312	4546	4546	0.0305763308402992	0.0686317641882974	4.18718876106511e-17	6.07032600047206e-17	1.93307084695793e-31	6.14767988394521e-31
ABI2	5.83725017843941	7.18355630602686	0.812585010789443	-0.299409342500475	1111	1458	4546	4546	0.244390673119226	0.32072151341839	7.11431886827185e-16	3.73924589188748e-18	2.02194980507985e-31	6.42847853851102e-31
RP11-488L18.10	3.77668933386981	4.93666437747211	0.765028579034922	-0.386414451576426	1659	2040	4546	4546	0.364936207655081	0.448746150461945	4.73718696403918e-16	5.85605129454931e-18	2.10736028894581e-31	6.69809049618375e-31
COL24A1	7.34338119217766	3.57459948858416	2.05432278934451	1.03866288564769	1197	865	4546	4546	0.263308402991641	0.190277166739991	1.00938120923241e-16	2.86726828077691e-17	2.19732693902539e-31	6.98202381810583e-31
RMND5A	9.60882542744574	10.9113676966892	0.880625206165614	-0.183399955711704	2015	2381	4546	4546	0.443246810382754	0.523757149142103	1.8009967985885e-14	1.64078190201582e-19	2.24293064065597e-31	7.12487013625715e-31
RPS13	70.5804323050784	83.0185631491408	0.850176510261715	-0.234165695939783	4130	4243	4546	4546	0.90849098108227	0.933347998240211	1.29889959808981e-05	2.34601488833806e-28	2.31197199802157e-31	7.34206420983965e-31
NID1	0.474154558025523	0.042997904423394	11.0273875990931	3.46301915016605	161	44	4546	4546	0.0354157501099868	0.00967883853937528	3.32384810896862e-17	9.35002882170087e-17	2.35731525139305e-31	7.48389714848672e-31
ERCC2	1.59187668187371	2.73711459561459	0.581589343911364	-0.781927258963879	349	588	4546	4546	0.0767707875054993	0.12934447866256	1.58841240009422e-16	1.97077401461815e-17	2.37422659537383e-31	7.53540990752345e-31
TIAF1	1.00370542636763	1.79906498620679	0.557903930131997	-0.84191138045787	373	618	4546	4546	0.0820501539815222	0.135943686757589	1.60211195558611e-16	1.99186821013149e-17	2.41972147361592e-31	7.67758623455904e-31
MAGOHB	2.55423660725284	3.65723738177025	0.69840602089014	-0.517862098533261	635	932	4546	4546	0.139683238011439	0.205015398152222	1.72712992906568e-16	1.84941778420707e-17	2.42195792615499e-31	7.68246452131876e-31
HAUS1	6.73893198391379	9.66842496120281	0.697004115039998	-0.520760921246643	1242	1589	4546	4546	0.273207215134184	0.349538055433348	4.37776960335362e-15	7.38800369062716e-19	2.45196955361667e-31	7.77541758909428e-31
RALA	18.6207350818608	20.3207073924503	0.916342857669363	-0.126040598627349	1754	2141	4546	4546	0.385833699956005	0.470963484381874	2.70036425612582e-16	1.21865860358996e-17	2.49425134358318e-31	7.90721560926529e-31
RGPD2	1.20411323304708	0.442131361178761	2.72342868833553	1.44542409140027	561	325	4546	4546	0.123405191377035	0.0714914210294765	6.55399299723686e-17	5.32717456245729e-17	2.64423176202799e-31	8.38026277290936e-31
GNG4	1.79131247728381	0.55483270648136	3.22856323421155	1.69089228379582	293	127	4546	4546	0.0644522657281126	0.0279366476022877	6.85292310604775e-17	5.17185446052284e-17	2.6836920643638e-31	8.50287099435645e-31
SH3GLB1	13.2584593955535	7.58075741292752	1.74896236264516	0.806499243056347	2050	1681	4546	4546	0.450945886493621	0.369775626924769	4.13277366165575e-15	8.64736162466861e-19	2.70575321635753e-31	8.57029786771921e-31
CHI3L1	0.809822696772622	0.0252378836261997	32.0875834426916	5.00394323737332	101	14	4546	4546	0.0222173339199296	0.00307963044434668	1.30507390372412e-17	2.80745025326874e-16	2.77311038130201e-31	8.78111673894855e-31
GLO1	9.49221006746123	11.580033604087	0.81970488100407	-0.286823506311844	1581	1961	4546	4546	0.347778266608007	0.431368235811703	3.44377318035727e-16	1.09760736574071e-17	2.85971449114059e-31	9.05274250349259e-31
PTPN4	4.97540185265547	5.6573715592564	0.879454672641199	-0.185318872211083	1058	1405	4546	4546	0.232732072151342	0.309062912450506	2.95657568593047e-16	1.42815736001994e-17	3.189849285574e-31	1.00949131867964e-30
RP11-504P24.8	0.478149617438802	1.60394567650199	0.298108361426297	-1.74609125387871	288	508	4546	4546	0.0633523977122745	0.111746590409151	2.99480753234666e-16	1.47693076348546e-17	3.33939011962043e-31	1.05651228568648e-30
FAM21C	2.45935734205117	3.17639685160987	0.774260099396809	-0.369109798447335	786	1103	4546	4546	0.172899252089749	0.242630884293885	2.74979989383657e-16	1.66338457275718e-17	3.45174661601619e-31	1.09174523903982e-30
