"gene"	"Mean_cloneA"	"Mean_cloneB_del7"	"log2fc"	"ExpressingCells_cloneA"	"nCells_cloneA"	"nCells_cloneB_del7"	"ExpressingCells_cloneB_del7"	"ExpressingFraction_cloneA"	"ExpressingFraction_cloneB_del7"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"ERP29"	"ERP29"	0.633662703793456	0.902304017629298	0.268641313835841	584	248	98	65	0.167808219178082	0.262096774193548	0.00237476118685163	0.0022084389332544	0.00355869167022491	0.000100234317582731	0.000968008768699528	"NA"	NA
"SPATS2"	"SPATS2"	0.398056205313431	0.648204991366842	0.25014878605341	584	248	68	49	0.116438356164384	0.19758064516129	0.00297224527743867	0.00309432829076487	0.00255093953789978	0.000100637295218647	0.000970848487135905	"NA"	NA
"HPGDS"	"HPGDS"	0.313528714617988	0.66787850081441	0.354349786196422	584	248	49	38	0.0839041095890411	0.153225806451613	0.00416812732136805	0.00415831911379163	0.00189924794214677	0.00010068704888652	0.000970848487135905	"NA"	NA
"NDUFA13"	"NDUFA13"	0.75108455066785	0.942814510347838	0.191729959679987	584	248	195	112	0.333904109589041	0.451612903225806	0.00168967066124136	0.00165045066238902	0.00486634223946281	0.000102260027377677	0.000985239129915947	"NA"	NA
"DEGS1"	"DEGS1"	0.360235391770029	0.501435646323527	0.141200254553498	584	248	67	49	0.11472602739726	0.19758064516129	0.00231515673459872	0.00213575436095581	0.00376608161453449	0.00010239807600283	0.000985792964571698	"NA"	NA
"HSPA5"	"HSPA5"	2.44261109982828	2.81761805094617	0.37500695111789	584	248	326	172	0.558219178082192	0.693548387096774	0.000363615677573873	0.000274362403021506	0.0294985541031638	0.000102982917290454	0.000990643849029868	"NA"	NA
"WDR20"	"WDR20"	0.199622443248814	0.354914281313103	0.15529183806429	584	248	41	34	0.0702054794520548	0.137096774193548	0.00318457550031315	0.00332754229292718	0.00244680289051211	0.000103551947293359	0.000995335135177953	"NA"	NA
"KIF1B"	"KIF1B"	0.0677500115718786	0.177806280609181	0.110056269037303	584	248	14	17	0.023972602739726	0.0685483870967742	0.00367071864474745	0.00409825080993508	0.00199094503279164	0.000103757611313193	0.000995747554531946	"NA"	NA
"FDXR"	"FDXR"	0.0653495455671306	0.169273492217077	0.103923946649946	584	248	14	17	0.023972602739726	0.0685483870967742	0.00367071864474745	0.00409825080993508	0.00199094503279164	0.000103757611313193	0.000995747554531946	"NA"	NA
"ASMTL"	"ASMTL"	0.212032331792755	0.362004588285241	0.149972256492486	584	248	46	37	0.0787671232876712	0.149193548387097	0.00293781612167752	0.003359511169973	0.00245787085750732	0.000104903500219371	0.00100595550837322	"NA"	NA
"TRPS1"	"TRPS1"	0.278450192701949	0.448648931200388	0.170198738498439	584	248	55	42	0.0941780821917808	0.169354838709677	0.00295334944820677	0.00298551958928443	0.00281258330205068	0.000106538343480428	0.0010208325535055	"NA"	NA
"SF3B5"	"SF3B5"	2.25999272817567	2.80822005218799	0.548227324012314	584	248	269	147	0.460616438356164	0.592741935483871	0.00064799344104591	0.000632637377786718	0.0133085552823604	0.000106800899173376	0.00102254757612318	"up_in_cloneBdel7"	NA
"ABTB1"	"ABTB1"	0.05429249201968	0.121641980816576	0.0673494887968957	584	248	14	17	0.023972602739726	0.0685483870967742	0.00367071864474745	0.00409825080993508	0.0020630183576636	0.000107213037380788	0.00102569095026687	"NA"	NA
"HECTD1"	"HECTD1"	0.974111150281115	1.22762211809318	0.253510967812067	584	248	150	92	0.256849315068493	0.370967741935484	0.00123010920957406	0.00112369667087507	0.00755147473405585	0.000107572753623656	0.00102832829167114	"NA"	NA
"UFD1L"	"UFD1L"	0.543492264989358	0.784163634735879	0.240671369746521	584	248	92	62	0.157534246575342	0.25	0.00233725153400593	0.00239768517846268	0.00359104300117581	0.00010902709016587	0.0010414172328412	"NA"	NA
"MAP3K7"	"MAP3K7"	0.1519574657411	0.268851263472566	0.116893797731467	584	248	36	31	0.0616438356164384	0.125	0.00336044878632031	0.00321841427550464	0.00268205775970147	0.00010928110130055	0.00104302929447233	"NA"	NA
"MFSD5"	"MFSD5"	0.276516115878	0.475200468038139	0.198684352160139	584	248	46	37	0.0787671232876712	0.149193548387097	0.00293781612167752	0.003359511169973	0.00258924750242411	0.000110057787177161	0.00104962360397486	"NA"	NA
"TAF12"	"TAF12"	0.107269636516312	0.302873982035077	0.195604345518765	584	248	20	21	0.0342465753424658	0.0846774193548387	0.00374401503524213	0.00435188158338125	0.00200285271563261	0.000110262523810439	0.00105052930047195	"NA"	NA
"POMP"	"POMP"	2.91675484793306	3.47078410024649	0.554029252313425	584	248	370	188	0.633561643835616	0.758064516129032	0.000638674749708426	0.000508652175283041	0.0171462840064446	0.000110324464784771	0.00105052930047195	"up_in_cloneBdel7"	NA
"LST1"	"LST1"	2.94912715874091	3.44020752366821	0.491080364927302	584	248	362	187	0.61986301369863	0.754032258064516	0.000255652193508289	0.000167539625730041	0.0527535870055771	0.000111684624374693	0.00106221685446443	"NA"	NA
"TPGS2"	"TPGS2"	0.889139588827378	1.16382636976998	0.274686780942603	584	248	136	85	0.232876712328767	0.342741935483871	0.00139256526935861	0.00145482041949808	0.00607760793772475	0.00011172548967765	0.00106221685446443	"NA"	NA
"THOC3"	"THOC3"	0.0927211699899956	0.219954102003043	0.127232932013047	584	248	23	23	0.0393835616438356	0.092741935483871	0.00356172008526824	0.00418810688792193	0.00211422369431441	0.000111874033853921	0.00106251418027886	"NA"	NA
"DCTN5"	"DCTN5"	0.415823174876426	0.633940276833028	0.218117101956601	584	248	64	47	0.10958904109589	0.189516129032258	0.00279019681430619	0.00255781226243163	0.00346367972716564	0.000111930433015646	0.00106251418027886	"NA"	NA
"PXN-AS1"	"PXN-AS1"	0.104604210086489	0.24632238441783	0.141718174331341	584	248	23	23	0.0393835616438356	0.092741935483871	0.00356172008526824	0.00418810688792193	0.00211987331618402	0.000112149290487515	0.00106376644837615	"NA"	NA
"TUBB6"	"TUBB6"	0.42781773472769	0.649457063455751	0.221639328728061	584	248	73	52	0.125	0.209677419354839	0.00252178722316012	0.00283242601086769	0.00315106680861079	0.000112694791016315	0.00106811267457447	"NA"	NA
"WAC-AS1"	"WAC-AS1"	0.413217735145281	0.612609698111845	0.199391962966563	584	248	73	52	0.125	0.209677419354839	0.00252178722316012	0.00283242601086769	0.00318750653787084	0.000113894214589908	0.00107864520876325	"NA"	NA
"IKZF2"	"IKZF2"	0.0805793086552555	0.169012353245918	0.0884330445906627	584	248	14	17	0.023972602739726	0.0685483870967742	0.00367071864474745	0.00409825080993508	0.0022286490603638	0.000115115358635892	0.00108936699788768	"NA"	NA
"RAB2A"	"RAB2A"	1.65061130147247	1.93386726048677	0.2832559590143	584	248	239	136	0.409246575342466	0.548387096774194	0.000302219956339192	0.000253154794591487	0.0361377715332694	0.000115288092258186	0.00109015849835484	"NA"	NA
"EFHD2"	"EFHD2"	1.15048961418081	1.50221282229079	0.351723208109989	584	248	180	105	0.308219178082192	0.423387096774194	0.00179592848452914	0.00180610545590035	0.00509825456570424	0.000115978622611532	0.00109584125581059	"NA"	NA
"DEK"	"DEK"	0.968004527790952	1.30409822893621	0.336093701145255	584	248	156	93	0.267123287671233	0.375	0.0024839174137521	0.00219563880807584	0.00420528272298503	0.000116271912612229	0.00109762861524961	"NA"	NA
"C1orf56"	"C1orf56"	0.248300048222764	0.0938192923133943	-0.154480755909369	584	248	63	11	0.107876712328767	0.0443548387096774	0.00493774362058781	0.00311677911879655	0.00296452715889703	0.000116347197938767	0.00109762861524961	"NA"	NA
"LAIR1"	"LAIR1"	0.624754619919233	0.899851991929736	0.275097372010504	584	248	103	67	0.176369863013699	0.270161290322581	0.00292931032215579	0.00261893076761497	0.00353229796796203	0.000116475485493959	0.00109799232704475	"NA"	NA
"STX8"	"STX8"	0.779716550438591	1.12614845081923	0.346431900380636	584	248	106	69	0.181506849315068	0.278225806451613	0.0023802524781208	0.00213692516897909	0.0043520294073121	0.000117044664479414	0.00110250847926875	"NA"	NA
"ZNF580"	"ZNF580"	0.173206080249396	0.26012654352897	0.0869204632795741	584	248	39	33	0.0667808219178082	0.133064516129032	0.0029232664607842	0.00282595774317199	0.00335020319334953	0.00011898456319518	0.00111991931942786	"NA"	NA
"RXRA"	"RXRA"	0.0779833281992971	0.220740227649866	0.142756899450569	584	248	16	18	0.0273972602739726	0.0725806451612903	0.00480643381808371	0.00391199870272485	0.00244496432119984	0.000120108031594331	0.00112962480752362	"NA"	NA
"VIM"	"VIM"	2.42960441028138	2.87263019292617	0.443025782644789	584	248	333	173	0.570205479452055	0.69758064516129	0.00076534694293476	0.00062252915529768	0.0154910539970551	0.000121019998487554	0.00113732772772175	"NA"	NA
"C5orf28"	"C5orf28"	0.0855377867430845	0.162024881612863	0.0764870948697787	584	248	14	17	0.023972602739726	0.0685483870967742	0.00367071864474745	0.00409825080993508	0.00236077388881715	0.000121382716733338	0.00113986102989188	"NA"	NA
"STRADB"	"STRADB"	0.133033156669491	0.285915917558243	0.152882760888752	584	248	25	24	0.0428082191780822	0.0967741935483871	0.00419119542178262	0.00360115813046014	0.00271161405827308	0.00012242036887473	0.00114872364536134	"NA"	NA
"RNASEH2C"	"RNASEH2C"	0.524360539515423	0.812388993143542	0.288028453628119	584	248	82	56	0.14041095890411	0.225806451612903	0.00342041393359287	0.00309229506415991	0.0031663743272031	0.000122725048765055	0.00115041632550271	"NA"	NA
"RNF181"	"RNF181"	1.72406376293797	2.22654039288192	0.502476629943952	584	248	248	134	0.424657534246575	0.540322580645161	0.00282351657537053	0.00235915025058971	0.00415272016807112	0.000122788797082914	0.00115041632550271	"up_in_cloneBdel7"	NA
"SERTAD1"	"SERTAD1"	0.0655325502447699	0.204957087863149	0.139424537618379	584	248	10	14	0.0171232876712329	0.0564516129032258	0.00405604104917215	0.00504056128790873	0.00195266281176828	0.000123314913129876	0.00115446157387694	"NA"	NA
"PPIF"	"PPIF"	0.678697768279833	0.935111474208323	0.25641370592849	584	248	116	74	0.198630136986301	0.298387096774194	0.00232586138452409	0.00212236582834875	0.00465391255574817	0.000123715920187671	0.00115733027478313	"NA"	NA
"GMDS"	"GMDS"	0.296455703566876	0.507399637137482	0.210943933570606	584	248	50	39	0.0856164383561644	0.157258064516129	0.00332885532349217	0.00312200302501335	0.00317526930655433	0.000124129559294254	0.00116031267190565	"NA"	NA
"ESAM"	"ESAM"	0.36131577086273	0.538650244241163	0.177334473378433	584	248	66	48	0.113013698630137	0.193548387096774	0.00288417624358387	0.00281048596362346	0.00357733992858759	0.000125751539614971	0.00117457697612885	"NA"	NA
"TRIM59"	"TRIM59"	0.433532271988826	0.186264602040032	-0.247267669948794	584	248	111	27	0.190068493150685	0.108870967741935	0.00546471542887008	0.00418402739512859	0.00241241244615306	0.000126206425059834	0.00117792663389178	"NA"	NA
"CDK2AP2"	"CDK2AP2"	0.147027354079203	0.301471555608573	0.154444201529369	584	248	25	24	0.0428082191780822	0.0967741935483871	0.00419119542178262	0.00360115813046014	0.00283088143756663	0.000127366084202037	0.00118608272142374	"NA"	NA
"NAT14"	"NAT14"	0.153603124046185	0.315825704288307	0.162222580242122	584	248	25	24	0.0428082191780822	0.0967741935483871	0.00419119542178262	0.00360115813046014	0.00283088143756663	0.000127366084202037	0.00118608272142374	"NA"	NA
"KDM5B"	"KDM5B"	0.947023728378173	1.24122676953372	0.294203041155548	584	248	166	98	0.284246575342466	0.395161290322581	0.00219310319995288	0.00196364940443392	0.00519180638098169	0.000127371093163681	0.00118608272142374	"NA"	NA
"ZG16B"	"ZG16B"	0.0628780012680022	0.188591939161347	0.125713937893345	584	248	10	14	0.0171232876712329	0.0564516129032258	0.00405604104917215	0.00504056128790873	0.00202553949828306	0.000127543124197856	0.00118678149633838	"NA"	NA
"RBFA"	"RBFA"	0.206023210936348	0.348883494875739	0.14286028393939	584	248	36	31	0.0616438356164384	0.125	0.00336044878632031	0.00321841427550464	0.00319281662514807	0.000128300826569734	0.00119292470661646	"NA"	NA
"SUCO"	"SUCO"	0.228037506549702	0.431760230310715	0.203722723761013	584	248	42	34	0.0719178082191781	0.137096774193548	0.0043255806918095	0.00374703361311675	0.00275310790389265	0.000128762258641651	0.0011963059960055	"NA"	NA
"CCSER2"	"CCSER2"	0.056545577467795	0.165601199668781	0.109055622200986	584	248	10	14	0.0171232876712329	0.0564516129032258	0.00405604104917215	0.00504056128790873	0.00206290621923811	0.000129705936594658	0.00120415921105632	"NA"	NA
"PRPF18"	"PRPF18"	0.0933280900685685	0.18189292341551	0.0885648333469413	584	248	23	23	0.0393835616438356	0.092741935483871	0.00356172008526824	0.00418810688792193	0.00249185240307733	0.000130141174712238	0.00120728386184908	"NA"	NA
"MBIP"	"MBIP"	0.37994422024039	0.578858999869139	0.19891477962875	584	248	68	49	0.116438356164384	0.19758064516129	0.00297224527743867	0.00309432829076487	0.00340570245270998	0.000131313131513023	0.00121723293726769	"NA"	NA
"CCZ1"	"CCZ1"	0.411324798682594	0.176752200874263	-0.234572597808331	584	248	99	23	0.169520547945205	0.092741935483871	0.0058414073911253	0.00375645239564209	0.00281365859584965	0.000131668511469188	0.00121960325990688	"NA"	NA
"PSMB6"	"PSMB6"	2.54307178440068	3.09082142125865	0.547749636857966	584	248	301	162	0.51541095890411	0.653225806451613	0.000338680556579104	0.000250150996775045	0.0423896791086713	0.000132063121123447	0.00122228831491081	"up_in_cloneBdel7"	NA
"RRAS"	"RRAS"	0.467229685318508	0.645156842682147	0.177927157363638	584	248	71	51	0.121575342465753	0.205645161290323	0.00245770775356055	0.00257289752471067	0.00412457910944011	0.000132158175925711	0.00122228831491081	"NA"	NA
"EAF2"	"EAF2"	0.706350518403641	0.963777439422443	0.257426921018802	584	248	106	69	0.181506849315068	0.278225806451613	0.0023802524781208	0.00213692516897909	0.0050459644860406	0.000134112258344404	0.00123942416397442	"NA"	NA
"DNAJC19"	"DNAJC19"	0.209283571999338	0.397884939015584	0.188601367016246	584	248	42	34	0.0719178082191781	0.137096774193548	0.0043255806918095	0.00374703361311675	0.00288101621227763	0.000134254260728374	0.00123980010133765	"NA"	NA
"YBX1"	"YBX1"	0.902680937416763	1.23618606688787	0.333505129471108	584	248	185	105	0.316780821917808	0.423387096774194	0.00407610790360857	0.00413449942703317	0.00262288998207382	0.00013481536271241	0.00124404281911693	"NA"	NA
"SYT11"	"SYT11"	0.117210864231745	0.238181293516878	0.120970429285132	584	248	20	21	0.0342465753424658	0.0846774193548387	0.00374401503524213	0.00435188158338125	0.0025136136561926	0.00013589654132251	0.00125307466437244	"NA"	NA
"ACOT7"	"ACOT7"	0.538441149894276	0.773198501083709	0.234757351189433	584	248	75	53	0.128424657534247	0.213709677419355	0.00258101305585142	0.00229976690340471	0.00481595484455293	0.000137456378953376	0.00126630835258826	"NA"	NA
"FCF1"	"FCF1"	0.0796346886241802	0.183193110549989	0.103558421925809	584	248	19	20	0.0325342465753425	0.0806451612903226	0.00474575489373719	0.00394219605779203	0.00281132390377887	0.000137538721852713	0.00126630835258826	"NA"	NA
"ASPSCR1"	"ASPSCR1"	0.495661819759031	0.734570691745659	0.238908871986629	584	248	81	56	0.138698630136986	0.225806451612903	0.00272960682962691	0.00291571285014114	0.00382076750899201	0.000138194322943112	0.00127015797995114	"NA"	NA
"SLC25A3"	"SLC25A3"	1.4133506608809	1.72707993316229	0.31372927228139	584	248	214	122	0.366438356164384	0.491935483870968	0.00097610142780382	0.000884048911695978	0.0126041324237173	0.00013822179296024	0.00127015797995114	"NA"	NA
"TMED9"	"TMED9"	0.942286663386047	1.25539890401615	0.313112240630102	584	248	155	93	0.26541095890411	0.375	0.00208267924194621	0.00212491302226819	0.0052457412920732	0.000138268259994681	0.00127015797995114	"NA"	NA
"NSMCE2"	"NSMCE2"	0.188632436316934	0.432364822053578	0.243732385736644	584	248	39	32	0.0667808219178082	0.129032258064516	0.0050444269258166	0.00432794470679981	0.00260690683294854	0.000139816201550918	0.00128341413516656	"NA"	NA
"RP11-112J3.16"	"RP11-112J3.16"	0.121379907242418	0.26053505681267	0.139155149570252	584	248	19	20	0.0325342465753425	0.0806451612903226	0.00474575489373719	0.00394219605779203	0.00291602556812359	0.000142240706506058	0.00130469061829694	"NA"	NA
"TSSC1"	"TSSC1"	0.100682093155813	0.218971757351791	0.118289664195978	584	248	19	20	0.0325342465753425	0.0806451612903226	0.00474575489373719	0.00394219605779203	0.00292422513889599	0.00014260830335501	0.00130708254670555	"NA"	NA
"BRIX1"	"BRIX1"	0.638086118644366	0.765300364961869	0.127214246317503	584	248	100	67	0.171232876712329	0.270161290322581	0.00155564467415352	0.00171974912207012	0.00697613503643588	0.000147935544724564	0.00135489470452827	"NA"	NA
"KCMF1"	"KCMF1"	0.602532230300089	0.831867675970699	0.22933544567061	584	248	117	74	0.200342465753425	0.298387096774194	0.00282848675915677	0.00286641432109499	0.00422499248937911	0.000149219665569113	0.00136563337913513	"NA"	NA
"CTC-523E23.5"	"CTC-523E23.5"	0.105674469702118	0.218907885948031	0.113233416245914	584	248	19	20	0.0325342465753425	0.0806451612903226	0.00474575489373719	0.00394219605779203	0.00309269853032518	0.000150141466010721	0.00137304258453452	"NA"	NA
"SNORD3D"	"SNORD3D"	0.0876973763841051	0.120520731964599	0.0328233555804942	584	248	17	19	0.0291095890410959	0.0766129032258065	0.0038017095005254	0.00434881224806675	0.00281538576319482	0.000150724746083207	0.00137734726891271	"NA"	NA
"CUEDC2"	"CUEDC2"	0.76864712776285	0.920475134745431	0.151828006982581	584	248	112	73	0.191780821917808	0.294354838709677	0.00155920442779523	0.00141144387386561	0.0087358483119759	0.000151703653559894	0.001385258138029	"NA"	NA
"RGCC"	"RGCC"	0.816026019573099	0.331970283404789	-0.48405573616831	584	248	112	28	0.191780821917808	0.112903225806452	0.00735055630756036	0.00604497355738846	0.00206109537117181	0.000153162340997868	0.00139753497721843	"NA"	NA
"MKNK1"	"MKNK1"	0.354707906158562	0.546688857445015	0.191980951286454	584	248	65	47	0.111301369863014	0.189516129032258	0.00358605462582721	0.00371260156744543	0.0033856289395613	0.000154406622825983	0.00140783862660114	"NA"	NA
"KCNK17"	"KCNK17"	0.333080039464032	0.524824565814448	0.191744526350415	584	248	52	40	0.089041095890411	0.161290322580645	0.00351420111679816	0.00352945078809173	0.00358022585554368	0.000155159552159663	0.00141365024588655	"NA"	NA
"ETV6"	"ETV6"	1.59224095886167	1.11747954963017	-0.4747614092315	584	248	292	99	0.5	0.399193548387097	0.00962744291284423	0.00793879047854998	0.00161325651060756	0.000157087938275288	0.00143015477138127	"NA"	NA
"UBE2N"	"UBE2N"	1.75647199856474	2.15466547816942	0.398193479604687	584	248	264	143	0.452054794520548	0.576612903225806	0.00131927493835382	0.00110844714145798	0.0115981941313844	0.000157636246843888	0.00143407964043258	"NA"	NA
"RPP30"	"RPP30"	0.343133515594436	0.543479129306622	0.200345613712185	584	248	52	40	0.089041095890411	0.161290322580645	0.00351420111679816	0.00352945078809173	0.00366073647140376	0.000158361385435265	0.00143960617547244	"NA"	NA
"GTF3A"	"GTF3A"	3.5137200245983	4.08367290413587	0.569952879537573	584	248	413	206	0.707191780821918	0.830645161290323	0.000267038911842747	0.000177542286834114	0.0732676618679975	0.000159348515317932	0.00144750440492221	"up_in_cloneBdel7"	NA
"CWC27"	"CWC27"	0.223401173765508	0.432789557239429	0.209388383473921	584	248	35	30	0.0599315068493151	0.120967741935484	0.00424280385509238	0.00436394457238234	0.003002327888718	0.00016040436935499	0.00145601473548046	"NA"	NA
"SZRD1"	"SZRD1"	0.139954137237419	0.257408118739789	0.11745398150237	584	248	40	33	0.0684931506849315	0.133064516129032	0.00401051162030667	0.00453386853550234	0.00293254442290648	0.000162581544682149	0.00147468330669442	"NA"	NA
"HLA-DRB1"	"HLA-DRB1"	4.36976098879442	4.94508480327936	0.575323814484934	584	248	481	228	0.823630136986301	0.919354838709677	0.000557421498775503	0.000261538948222449	0.0511383538581901	0.000163467209752717	0.00148161835446982	"up_in_cloneBdel7"	NA
"RPA1"	"RPA1"	0.215916981932162	0.38976306263653	0.173846080704368	584	248	40	33	0.0684931506849315	0.133064516129032	0.00401051162030667	0.00453386853550234	0.00300083811360713	0.000166054564381294	0.00150395532921504	"NA"	NA
"DCTPP1"	"DCTPP1"	0.791155464577473	1.13600284046516	0.344847375887682	584	248	107	69	0.183219178082192	0.278225806451613	0.00291550662755558	0.00290521846272779	0.00470105382265395	0.000166639175606661	0.00150702166046627	"NA"	NA
"PRRC1"	"PRRC1"	0.158618720754342	0.279800971569125	0.121182250814782	584	248	30	27	0.0513698630136986	0.108870967741935	0.004328568277364	0.00405845747697507	0.00336522260191158	0.000166639449706675	0.00150702166046627	"NA"	NA
"CLDN10"	"CLDN10"	0.0722622074340094	0.221799928747249	0.14953772131324	584	248	13	16	0.0222602739726027	0.0645161290322581	0.00461081447839193	0.00593197676501739	0.00230668027917743	0.000166925739907695	0.00150849582977146	"NA"	NA
"ARPC1B"	"ARPC1B"	3.4688829460578	2.90151119056358	-0.567371755494219	584	248	435	176	0.74486301369863	0.709677419354839	0.334398796492043	0.303819257282017	4.56206424778981e-05	0.000168909746394444	0.00152529863976562	"up_in_cloneA"	NA
"MRPS35"	"MRPS35"	0.358627454866683	0.546958792522762	0.18833133765608	584	248	65	47	0.111301369863014	0.189516129032258	0.00358605462582721	0.00371260156744543	0.00374672727095252	0.000169465354729879	0.00152918737498142	"NA"	NA
"CAND1"	"CAND1"	0.717476063317131	0.935629374046082	0.218153310728951	584	248	122	77	0.208904109589041	0.310483870967742	0.00226625701687639	0.00244952564270162	0.00569185858091182	0.0001698259434829	0.00153131189716784	"NA"	NA
"AHSA1"	"AHSA1"	0.249725626976122	0.4500918135831	0.200366186606978	584	248	44	35	0.0753424657534247	0.141129032258065	0.00463155851811538	0.00427617731346859	0.00326644587469917	0.000170111563727346	0.00153275780100723	"NA"	NA
"MDH1"	"MDH1"	0.676120321787341	1.02512568556253	0.349005363775188	584	248	118	73	0.202054794520548	0.294354838709677	0.00502282466954929	0.00510442695742094	0.00278063974074628	0.000172632466548461	0.00155432734414053	"NA"	NA
"PRKAB2"	"PRKAB2"	0.0720192069381339	0.206007955205344	0.133988748267211	584	248	13	16	0.0222602739726027	0.0645161290322581	0.00461081447839193	0.00593197676501739	0.002415619255409	0.000174147993618459	0.0015668197425849	"NA"	NA
"HNRNPC"	"HNRNPC"	3.98407339225054	4.36778907971696	0.383715687466418	584	248	488	232	0.835616438356164	0.935483870967742	0.000177216288048113	5.75298385778489e-05	0.250329975135918	0.000174951353436474	0.00157289108056481	"NA"	NA
"PRPF38B"	"PRPF38B"	0.756068318636274	1.10131756368205	0.345249245045775	584	248	123	76	0.210616438356164	0.306451612903226	0.00403711966785091	0.00436788292946646	0.00330018305823245	0.000175100400471867	0.00157307525710261	"NA"	NA
"PTPN1"	"PTPN1"	0.429973001705924	0.712083940861544	0.28211093915562	584	248	76	52	0.13013698630137	0.209677419354839	0.00505340540749333	0.00452180805922314	0.00320417807148178	0.000175923603280029	0.00157931123238036	"NA"	NA
"RP11-318M2.2"	"RP11-318M2.2"	0.208173980294146	0.371175255429428	0.163001275135282	584	248	40	33	0.0684931506849315	0.133064516129032	0.00401051162030667	0.00453386853550234	0.00320118115232279	0.000176202762239246	0.00158065762372391	"NA"	NA
"ESYT2"	"ESYT2"	0.808051238974161	0.391671301368928	-0.416379937605233	584	248	148	42	0.253424657534247	0.169354838709677	0.0107085319458065	0.00874109141943133	0.00166377492714977	0.00017653108756371	0.00158244277467367	"NA"	NA
"MYO1G"	"MYO1G"	0.438100627607984	0.167914450057972	-0.270186177550012	584	248	92	21	0.157534246575342	0.0846774193548387	0.00703446419566848	0.00544967189909323	0.0026766933484277	0.000177019905046355	0.00158566292690132	"NA"	NA
"TNNI2"	"TNNI2"	0.26989481202432	0.449784728677061	0.179889916652741	584	248	38	32	0.0650684931506849	0.129032258064516	0.00368810773684451	0.00382438932565577	0.00385228979082896	0.000178639995266268	0.00159900437606296	"NA"	NA
"RP11-212I21.4"	"RP11-212I21.4"	0.0305606854614892	0.104069191861054	0.0735085063995651	584	248	8	12	0.0136986301369863	0.0483870967741935	0.00613233439178746	0.00515084256715912	0.00287686028115577	0.000179592067738009	0.00160635127254552	"NA"	NA
"ZFR"	"ZFR"	1.22866429462789	1.6394315073518	0.410767212723912	584	248	189	107	0.323630136986301	0.431451612903226	0.00382421239116788	0.00339411944223712	0.0044526388394484	0.000182864271214699	0.00163442455995841	"NA"	NA
"MCFD2"	"MCFD2"	0.662283217429937	0.924348690934629	0.262065473504692	584	248	108	69	0.184931506849315	0.278225806451613	0.00355518573199934	0.00306524379167963	0.00494286183691517	0.000183289223977134	0.0016357120812545	"NA"	NA
"TEC"	"TEC"	0.231322026562782	0.33455348411621	0.103231457553429	584	248	43	35	0.0736301369863014	0.141129032258065	0.00344110423936036	0.00391275247821542	0.00387354727024268	0.000183346431756347	0.0016357120812545	"NA"	NA
"UNC50"	"UNC50"	0.252623985592392	0.399412458514513	0.14678847292212	584	248	49	38	0.0839041095890411	0.153225806451613	0.00416812732136805	0.00415831911379163	0.00364674812555436	0.000183436435408741	0.0016357120812545	"NA"	NA
"FAM60A"	"FAM60A"	0.680607470170808	0.948934859970713	0.268327389799906	584	248	114	72	0.195205479452055	0.290322580645161	0.00348672099721996	0.00351753674310626	0.00431380001873407	0.000183543044096308	0.0016357120812545	"NA"	NA
"HIGD1A"	"HIGD1A"	0.37462962413071	0.556204532182542	0.181574908051832	584	248	71	50	0.121575342465753	0.201612903225806	0.00387772680110935	0.00361345009608056	0.00423680439677312	0.000185046285231035	0.00164790854882602	"NA"	NA
"PSPH"	"PSPH"	0.0779243546611743	0.0173175076183439	-0.0606068470428305	584	248	23	1	0.0393835616438356	0.00403225806451613	0.0104591501815823	0.00282495344874789	0.00556020781053855	0.000189452104647455	0.0016859170563391	"NA"	NA
"PML"	"PML"	0.382298972292676	0.521037416410777	0.138738444118101	584	248	74	52	0.126712328767123	0.209677419354839	0.00320031746176684	0.00299887261583611	0.00528715584710211	0.000191090468784139	0.00169926088375198	"NA"	NA
"MEA1"	"MEA1"	0.619970471281381	0.900655917643363	0.280685446361982	584	248	92	61	0.157534246575342	0.245967741935484	0.00356824891241862	0.00328797405527871	0.0048269997796555	0.000191262244016894	0.00169955324458295	"NA"	NA
"BIVM"	"BIVM"	0.22359221513051	0.395695826109073	0.172103610978563	584	248	51	39	0.0873287671232877	0.157258064516129	0.00439270831605286	0.00472377456606911	0.00336972672009911	0.000191779134220107	0.00170290964173964	"NA"	NA
"CMAS"	"CMAS"	0.330742892377964	0.51547335458471	0.184730462206747	584	248	58	43	0.0993150684931507	0.173387096774194	0.00402208832622159	0.00363907960399834	0.00438321355385251	0.000192144058276339	0.0017049127607464	"NA"	NA
"POLB"	"POLB"	0.455920418296278	0.744079735550282	0.288159317254004	584	248	88	58	0.150684931506849	0.233870967741935	0.00534006942562796	0.0051555552848665	0.00312584285235653	0.00019396130138364	0.00171979020560161	"NA"	NA
"TRMT13"	"TRMT13"	0.0530836029969383	0.13416836229948	0.0810847593025414	584	248	8	12	0.0136986301369863	0.0483870967741935	0.00613233439178746	0.00515084256715912	0.00315651370038199	0.00019554152959154	0.00173254609419413	"NA"	NA
"MARCH5"	"MARCH5"	0.37093348721279	0.542043403522798	0.171109916310008	584	248	69	49	0.118150684931507	0.19758064516129	0.00378804882122754	0.00333618564916575	0.00488184535190661	0.000195850669131599	0.00173402951338223	"NA"	NA
"GCSAML"	"GCSAML"	0.489387035377505	0.702738486430312	0.213351451052807	584	248	84	57	0.143835616438356	0.229838709677419	0.00346088734473866	0.00330960759642216	0.00493545978032693	0.000196376419818231	0.00173742723998256	"NA"	NA
