gene_short_name	direction
NET1	No overlap: HSPC MUT unique
MIS18BP1	No overlap: HSPC MUT unique
ZBTB20	No overlap: HSPC MUT unique
SLC39A4	No overlap: HSPC MUT unique
FLNA	No overlap: HSPC MUT unique
CENPF	No overlap: HSPC MUT unique
PSPC1	No overlap: HSPC MUT unique
VAMP2	No overlap: HSPC MUT unique
CCNDBP1	No overlap: HSPC MUT unique
CAMLG	No overlap: HSPC MUT unique
FRMD4B	No overlap: HSPC MUT unique
CHST12	No overlap: HSPC MUT unique
CHAF1A	No overlap: HSPC MUT unique
NRIP1	No overlap: HSPC MUT unique
ARF6	No overlap: HSPC MUT unique
HN1	No overlap: HSPC MUT unique
MSRB3	No overlap: HSPC MUT unique
AC006129.2	No overlap: HSPC MUT unique
PTAR1	No overlap: HSPC MUT unique
UBE2D2	No overlap: HSPC MUT unique
CTD-2647E9.3	No overlap: HSPC MUT unique
HDGF	No overlap: HSPC MUT unique
PPIB	No overlap: HSPC MUT unique
RLF	No overlap: HSPC MUT unique
MGLL	No overlap: HSPC MUT unique
PICALM	No overlap: HSPC MUT unique
EIF2AK2	No overlap: HSPC MUT unique
EIF3J-AS1	No overlap: HSPC MUT unique
ORAI3	No overlap: HSPC MUT unique
NAA25	No overlap: HSPC MUT unique
SLBP	No overlap: HSPC MUT unique
SERPINB1	No overlap: HSPC MUT unique
LMAN2	No overlap: HSPC MUT unique
CD84	No overlap: HSPC MUT unique
ENY2	No overlap: HSPC MUT unique
SMEK1	No overlap: HSPC MUT unique
ATAD2	No overlap: HSPC MUT unique
CD55	No overlap: HSPC MUT unique
PER1	No overlap: HSPC MUT unique
PRKDC	No overlap: HSPC MUT unique
IK	No overlap: HSPC MUT unique
