"gene"	"Mean_pre-TP53-sAML"	"Mean_CP-TP53-MPN"	"log2fc"	"ExpressingCells_pre-TP53-sAML"	"nCells_pre-TP53-sAML"	"nCells_CP-TP53-MPN"	"ExpressingCells_CP-TP53-MPN"	"ExpressingFraction_pre-TP53-sAML"	"ExpressingFraction_CP-TP53-MPN"	"chisq.test.p"	"fisher.test.p"	"wilcoxon"	"combined.fisher"	"p.adjusted"	"class"	"Name"
"ULK1"	0.378694113516548	1.76231062153804	1.3836165080215	296	273	34	126	0.114864864864865	0.461538461538462	9.37399390637617e-20	1.46279743876122e-20	3.19699760196344e-20	4.28189757521233e-38	1.34617334735546e-35	"up_in_CP-TP53-MPN"	NA
"PDCD6"	4.0522596520892	1.79153924293879	-2.2607204091504	296	273	226	111	0.763513513513513	0.406593406593407	1.03318928157622e-17	2.91110715546136e-18	2.49055079283286e-22	6.60660869232561e-38	2.04406375604462e-35	"up_in_pre-TP53-sAML"	NA
"C14orf119"	2.15224033234941	0.24542016037806	-1.90682017197135	296	273	128	28	0.432432432432432	0.102564102564103	2.82677660412826e-18	1.41426132184606e-19	6.19014437041015e-21	7.96078625668936e-38	2.42455696430295e-35	"up_in_pre-TP53-sAML"	NA
"ABCB1"	0.47016582589143	1.99139289313904	1.52122706724761	296	273	40	133	0.135135135135135	0.487179487179487	1.73073917785657e-19	2.72919438457746e-20	3.76930172371312e-20	9.33791044702366e-38	2.80022385282131e-35	"up_in_CP-TP53-MPN"	NA
"SFPQ"	3.27963614652229	5.70175826772322	2.42212212120093	296	273	219	259	0.739864864864865	0.948717948717949	2.45814464597946e-11	2.8168403368838e-12	7.33815218929127e-28	1.86188037423186e-37	5.49875337189809e-35	"up_in_CP-TP53-MPN"	NA
"NFE2"	4.08223828662238	1.65676547172512	-2.42547281489726	296	273	225	112	0.760135135135135	0.41025641025641	4.48664373320762e-17	1.3649112469779e-17	1.67287774488267e-22	2.05443005003023e-37	5.97685828883421e-35	"up_in_pre-TP53-sAML"	NA
"RXFP1"	1.42631629284165	0.176033629709564	-1.25028266313209	296	273	114	19	0.385135135135135	0.0695970695970696	1.54928664036204e-18	2.92235358437775e-20	1.64174424252152e-19	4.28116682802891e-37	1.22718387958734e-34	"up_in_pre-TP53-sAML"	NA
"HOPX"	2.91787677303749	0.892293619681398	-2.02558315335609	296	273	169	57	0.570945945945946	0.208791208791209	2.44932297619565e-18	4.19800398323773e-19	1.63569956749078e-20	6.10269676438188e-37	1.72396761349756e-34	"up_in_pre-TP53-sAML"	NA
"DAD1"	5.0667362085562	2.56440698591537	-2.50232922264083	296	273	265	176	0.89527027027027	0.644688644688645	1.77379674949507e-12	6.65133627923242e-13	1.41493214461886e-26	8.33444771733153e-37	2.32078649866037e-34	"up_in_pre-TP53-sAML"	NA
"MRPL51"	3.84356062071103	1.57369651925427	-2.26986410145677	296	273	219	110	0.739864864864865	0.402930402930403	8.57610837921624e-16	3.53747809448169e-16	9.05181816931579e-23	2.79650187615094e-36	7.67738233379354e-34	"up_in_pre-TP53-sAML"	NA
"B2M"	10.5116088036867	9.14671799310632	-1.36489081058034	296	273	296	273	1	1	NA	1	3.29382076777442e-38	2.87570926346451e-36	7.78518402270142e-34	"up_in_pre-TP53-sAML"	NA
